Date,NVDA
2023-12-28,49.50341033935547
2023-12-29,49.50341033935547
2024-01-02,48.14991760253906
2024-01-03,47.551143646240234
2024-01-04,47.979984283447266
2024-01-05,49.07856369018555
2024-01-08,52.23338317871094
2024-01-09,53.120052337646484
2024-01-10,54.3296012878418
2024-01-11,54.80141830444336
2024-01-12,54.68946075439453
2024-01-16,56.360836029052734
2024-01-17,56.031959533691406
2024-01-18,57.0855598449707
2024-01-19,59.46866989135742
2024-01-22,59.63161087036133
2024-01-23,59.850528717041016
2024-01-24,61.338966369628906
2024-01-25,61.593868255615234
2024-01-26,61.00809097290039
2024-01-29,62.441551208496094
2024-01-30,62.750431060791016
2024-01-31,61.503902435302734
2024-02-01,63.00334167480469
2024-02-02,66.13516998291016
2024-02-05,69.30597686767578
2024-02-06,68.19739532470703
